industry_text,May '22 - May '23 Average,Dec. '00 - Dec. '19 Average
Information,1.3,1.1262008733624453
Finance and insurance,0.5307692307692308,0.6397379912663755
Government,0.3769230769230769,0.5087336244541485
Education and health services,0.6076923076923076,0.8126637554585153
Manufacturing,0.8461538461538461,1.1427947598253276
"Trade, transportation, and utilities",1.0461538461538462,1.4048034934497817
Total nonfarm,1.023076923076923,1.3947598253275109
Other services,0.9461538461538461,1.32882096069869
Real estate and rental and leasing,0.7923076923076923,1.3506550218340612
Mining and logging,0.9307692307692308,1.5327510917030567
Professional and business services,1.6692307692307693,2.274235807860262
Leisure and hospitality,1.2846153846153845,2.1323144104803493
Construction,2.1384615384615384,3.5563318777292574
